Sp,LT,Madurez
Cynoscion analis,26.3,Maduro
Cynoscion analis,26.4,Maduro
Cynoscion analis,26.4,Maduro
Cynoscion analis,27,Maduro
Cynoscion analis,27.2,Maduro
Cynoscion analis,27.5,Maduro
Cynoscion analis,27.7,Maduro
Cynoscion analis,27.7,Maduro
Cynoscion analis,27.9,Maduro
Cynoscion analis,27.9,Maduro
Cynoscion analis,28,Maduro
Cynoscion analis,28.1,Maduro
Cynoscion analis,28.2,Maduro
Cynoscion analis,28.3,Maduro
Cynoscion analis,28.3,Maduro
Cynoscion analis,28.5,Maduro
Cynoscion analis,28.6,Maduro
Cynoscion analis,28.7,Maduro
Cynoscion analis,28.7,Maduro
Cynoscion analis,28.7,Maduro
Cynoscion analis,28.9,Maduro
Cynoscion analis,29.2,Maduro
Cynoscion analis,29.2,Maduro
Cynoscion analis,31.2,Maduro
Cynoscion analis,31.6,Maduro
Menticirrhus ophicephalus,15,Inmaduro
Menticirrhus ophicephalus,16,Inmaduro
Menticirrhus ophicephalus,16,Inmaduro
Menticirrhus ophicephalus,16,Inmaduro
Menticirrhus ophicephalus,17,Inmaduro
Menticirrhus ophicephalus,17,Inmaduro
Menticirrhus ophicephalus,17,Inmaduro
Menticirrhus ophicephalus,18,Inmaduro
Menticirrhus ophicephalus,19,Inmaduro
Menticirrhus ophicephalus,19,Inmaduro
Menticirrhus ophicephalus,19,Inmaduro
Menticirrhus ophicephalus,19,Inmaduro
Menticirrhus ophicephalus,20,Inmaduro
Menticirrhus ophicephalus,20,Inmaduro
Menticirrhus ophicephalus,21,Inmaduro
Menticirrhus ophicephalus,21,Inmaduro
Menticirrhus ophicephalus,22,Inmaduro
Menticirrhus ophicephalus,22,Inmaduro
Menticirrhus ophicephalus,23,Inmaduro
Menticirrhus ophicephalus,23,Inmaduro
Menticirrhus ophicephalus,20,Maduro
Menticirrhus ophicephalus,20,Maduro
Menticirrhus ophicephalus,20,Maduro
Menticirrhus ophicephalus,20.6,Maduro
Menticirrhus ophicephalus,20.7,Maduro
Menticirrhus ophicephalus,20.9,Maduro
Menticirrhus ophicephalus,20.9,Maduro
Menticirrhus ophicephalus,21,Maduro
Menticirrhus ophicephalus,21,Maduro
Menticirrhus ophicephalus,21,Maduro
Menticirrhus ophicephalus,21,Maduro
Menticirrhus ophicephalus,21,Maduro
Menticirrhus ophicephalus,21.1,Maduro
Menticirrhus ophicephalus,21.2,Maduro
Menticirrhus ophicephalus,21.2,Maduro
Menticirrhus ophicephalus,21.3,Maduro
Menticirrhus ophicephalus,21.4,Maduro
Menticirrhus ophicephalus,21.4,Maduro
Menticirrhus ophicephalus,21.4,Maduro
Menticirrhus ophicephalus,21.4,Maduro
Menticirrhus ophicephalus,21.4,Maduro
Menticirrhus ophicephalus,21.4,Maduro
Menticirrhus ophicephalus,21.4,Maduro
Menticirrhus ophicephalus,21.5,Maduro
Menticirrhus ophicephalus,21.5,Maduro
Menticirrhus ophicephalus,21.5,Maduro
Menticirrhus ophicephalus,21.6,Maduro
Menticirrhus ophicephalus,21.6,Maduro
Menticirrhus ophicephalus,21.6,Maduro
Menticirrhus ophicephalus,21.7,Maduro
Menticirrhus ophicephalus,21.8,Maduro
Menticirrhus ophicephalus,21.8,Maduro
Menticirrhus ophicephalus,21.9,Maduro
Menticirrhus ophicephalus,21.9,Maduro
Menticirrhus ophicephalus,22,Maduro
Menticirrhus ophicephalus,22,Maduro
Menticirrhus ophicephalus,22,Maduro
Menticirrhus ophicephalus,22,Maduro
Menticirrhus ophicephalus,22,Maduro
Menticirrhus ophicephalus,22,Maduro
Menticirrhus ophicephalus,22,Maduro
Menticirrhus ophicephalus,22.1,Maduro
Menticirrhus ophicephalus,22.1,Maduro
Menticirrhus ophicephalus,22.2,Maduro
Menticirrhus ophicephalus,22.2,Maduro
Menticirrhus ophicephalus,22.2,Maduro
Menticirrhus ophicephalus,22.2,Maduro
Menticirrhus ophicephalus,22.2,Maduro
Menticirrhus ophicephalus,22.3,Maduro
Menticirrhus ophicephalus,22.3,Maduro
Menticirrhus ophicephalus,22.4,Maduro
Menticirrhus ophicephalus,22.4,Maduro
Menticirrhus ophicephalus,22.4,Maduro
Menticirrhus ophicephalus,22.4,Maduro
Menticirrhus ophicephalus,22.5,Maduro
Menticirrhus ophicephalus,22.5,Maduro
Menticirrhus ophicephalus,22.5,Maduro
Menticirrhus ophicephalus,22.5,Maduro
Menticirrhus ophicephalus,22.5,Maduro
Menticirrhus ophicephalus,22.5,Maduro
Menticirrhus ophicephalus,22.6,Maduro
Menticirrhus ophicephalus,22.6,Maduro
Menticirrhus ophicephalus,22.6,Maduro
Menticirrhus ophicephalus,22.6,Maduro
Menticirrhus ophicephalus,22.6,Maduro
Menticirrhus ophicephalus,22.7,Maduro
Menticirrhus ophicephalus,22.7,Maduro
Menticirrhus ophicephalus,22.7,Maduro
Menticirrhus ophicephalus,22.7,Maduro
Menticirrhus ophicephalus,22.8,Maduro
Menticirrhus ophicephalus,22.8,Maduro
Menticirrhus ophicephalus,22.9,Maduro
Menticirrhus ophicephalus,23,Maduro
Menticirrhus ophicephalus,23,Maduro
Menticirrhus ophicephalus,23,Maduro
Menticirrhus ophicephalus,23,Maduro
Menticirrhus ophicephalus,23.1,Maduro
Menticirrhus ophicephalus,23.1,Maduro
Menticirrhus ophicephalus,23.1,Maduro
Menticirrhus ophicephalus,23.2,Maduro
Menticirrhus ophicephalus,23.2,Maduro
Menticirrhus ophicephalus,23.2,Maduro
Menticirrhus ophicephalus,23.2,Maduro
Menticirrhus ophicephalus,23.2,Maduro
Menticirrhus ophicephalus,23.3,Maduro
Menticirrhus ophicephalus,23.3,Maduro
Menticirrhus ophicephalus,23.3,Maduro
Menticirrhus ophicephalus,23.3,Maduro
Menticirrhus ophicephalus,23.3,Maduro
Menticirrhus ophicephalus,23.4,Maduro
Menticirrhus ophicephalus,23.4,Maduro
Menticirrhus ophicephalus,23.4,Maduro
Menticirrhus ophicephalus,23.4,Maduro
Menticirrhus ophicephalus,23.4,Maduro
Menticirrhus ophicephalus,23.4,Maduro
Menticirrhus ophicephalus,23.4,Maduro
Menticirrhus ophicephalus,23.5,Maduro
Menticirrhus ophicephalus,23.5,Maduro
Menticirrhus ophicephalus,23.5,Maduro
Menticirrhus ophicephalus,23.5,Maduro
Menticirrhus ophicephalus,23.5,Maduro
Menticirrhus ophicephalus,23.5,Maduro
Menticirrhus ophicephalus,23.5,Maduro
Menticirrhus ophicephalus,23.6,Maduro
Menticirrhus ophicephalus,23.6,Maduro
Menticirrhus ophicephalus,23.6,Maduro
Menticirrhus ophicephalus,23.6,Maduro
Menticirrhus ophicephalus,23.6,Maduro
Menticirrhus ophicephalus,23.7,Maduro
Menticirrhus ophicephalus,23.7,Maduro
Menticirrhus ophicephalus,23.7,Maduro
Menticirrhus ophicephalus,23.7,Maduro
Menticirrhus ophicephalus,23.7,Maduro
Menticirrhus ophicephalus,23.7,Maduro
Menticirrhus ophicephalus,23.7,Maduro
Menticirrhus ophicephalus,23.7,Maduro
Menticirrhus ophicephalus,23.7,Maduro
Menticirrhus ophicephalus,23.7,Maduro
Menticirrhus ophicephalus,23.7,Maduro
Menticirrhus ophicephalus,23.8,Maduro
Menticirrhus ophicephalus,23.8,Maduro
Menticirrhus ophicephalus,23.9,Maduro
Menticirrhus ophicephalus,23.9,Maduro
Menticirrhus ophicephalus,23.9,Maduro
Menticirrhus ophicephalus,24,Maduro
Menticirrhus ophicephalus,24,Maduro
Menticirrhus ophicephalus,24,Maduro
Menticirrhus ophicephalus,24,Maduro
Menticirrhus ophicephalus,24,Maduro
Menticirrhus ophicephalus,24,Maduro
Menticirrhus ophicephalus,24,Maduro
Menticirrhus ophicephalus,24,Maduro
Menticirrhus ophicephalus,24,Maduro
Menticirrhus ophicephalus,24,Maduro
Menticirrhus ophicephalus,24,Maduro
Menticirrhus ophicephalus,24.1,Maduro
Menticirrhus ophicephalus,24.1,Maduro
Menticirrhus ophicephalus,24.1,Maduro
Menticirrhus ophicephalus,24.2,Maduro
Menticirrhus ophicephalus,24.2,Maduro
Menticirrhus ophicephalus,24.3,Maduro
Menticirrhus ophicephalus,24.3,Maduro
Menticirrhus ophicephalus,24.3,Maduro
Menticirrhus ophicephalus,24.4,Maduro
Menticirrhus ophicephalus,24.4,Maduro
Menticirrhus ophicephalus,24.4,Maduro
Menticirrhus ophicephalus,24.5,Maduro
Menticirrhus ophicephalus,24.5,Maduro
Menticirrhus ophicephalus,24.5,Maduro
Menticirrhus ophicephalus,24.6,Maduro
Menticirrhus ophicephalus,24.7,Maduro
Menticirrhus ophicephalus,24.8,Maduro
Menticirrhus ophicephalus,24.9,Maduro
Menticirrhus ophicephalus,25,Maduro
Menticirrhus ophicephalus,25,Maduro
Menticirrhus ophicephalus,25,Maduro
Menticirrhus ophicephalus,25,Maduro
Menticirrhus ophicephalus,25.2,Maduro
Menticirrhus ophicephalus,25.2,Maduro
Menticirrhus ophicephalus,25.2,Maduro
Menticirrhus ophicephalus,25.3,Maduro
Menticirrhus ophicephalus,25.3,Maduro
Menticirrhus ophicephalus,25.3,Maduro
Menticirrhus ophicephalus,25.5,Maduro
Menticirrhus ophicephalus,25.5,Maduro
Menticirrhus ophicephalus,25.6,Maduro
Menticirrhus ophicephalus,25.7,Maduro
Menticirrhus ophicephalus,25.9,Maduro
Menticirrhus ophicephalus,25.9,Maduro
Menticirrhus ophicephalus,26,Maduro
Menticirrhus ophicephalus,26,Maduro
Menticirrhus ophicephalus,26,Maduro
Menticirrhus ophicephalus,26,Maduro
Menticirrhus ophicephalus,26,Maduro
Menticirrhus ophicephalus,26,Maduro
Menticirrhus ophicephalus,26.2,Maduro
Menticirrhus ophicephalus,26.4,Maduro
Menticirrhus ophicephalus,26.5,Maduro
Menticirrhus ophicephalus,26.5,Maduro
Menticirrhus ophicephalus,26.5,Maduro
Menticirrhus ophicephalus,26.6,Maduro
Menticirrhus ophicephalus,26.7,Maduro
Menticirrhus ophicephalus,27,Maduro
Menticirrhus ophicephalus,27.1,Maduro
Menticirrhus ophicephalus,27.4,Maduro
Menticirrhus ophicephalus,27.9,Maduro
Menticirrhus ophicephalus,28,Maduro
Menticirrhus ophicephalus,30.8,Maduro
Menticirrhus ophicephalus,32.5,Maduro
Menticirrhus ophicephalus,34.3,Maduro
Paralonchurus peruanus,13.5,Inmaduro
Paralonchurus peruanus,15.1,Inmaduro
Paralonchurus peruanus,17.1,Inmaduro
Paralonchurus peruanus,17.4,Inmaduro
Paralonchurus peruanus,17.5,Inmaduro
Paralonchurus peruanus,17.7,Inmaduro
Paralonchurus peruanus,17.8,Inmaduro
Paralonchurus peruanus,17.8,Inmaduro
Paralonchurus peruanus,17.8,Inmaduro
Paralonchurus peruanus,17.9,Inmaduro
Paralonchurus peruanus,18.1,Inmaduro
Paralonchurus peruanus,18.2,Inmaduro
Paralonchurus peruanus,18.2,Inmaduro
Paralonchurus peruanus,18.2,Inmaduro
Paralonchurus peruanus,20,Inmaduro
Paralonchurus peruanus,13.5,Maduro
Paralonchurus peruanus,15.1,Maduro
Paralonchurus peruanus,17.1,Maduro
Paralonchurus peruanus,17.4,Maduro
Paralonchurus peruanus,17.5,Maduro
Paralonchurus peruanus,17.7,Maduro
Paralonchurus peruanus,17.8,Maduro
Paralonchurus peruanus,17.8,Maduro
Paralonchurus peruanus,17.8,Maduro
Paralonchurus peruanus,17.9,Maduro
Paralonchurus peruanus,18.1,Maduro
Paralonchurus peruanus,18.2,Maduro
Paralonchurus peruanus,18.2,Maduro
Paralonchurus peruanus,18.2,Maduro
Paralonchurus peruanus,18.2,Maduro
Paralonchurus peruanus,18.3,Maduro
Paralonchurus peruanus,18.5,Maduro
Paralonchurus peruanus,18.5,Maduro
Paralonchurus peruanus,18.5,Maduro
Paralonchurus peruanus,18.5,Maduro
Paralonchurus peruanus,18.5,Maduro
Paralonchurus peruanus,18.7,Maduro
Paralonchurus peruanus,18.7,Maduro
Paralonchurus peruanus,18.8,Maduro
Paralonchurus peruanus,18.8,Maduro
Paralonchurus peruanus,18.8,Maduro
Paralonchurus peruanus,18.9,Maduro
Paralonchurus peruanus,19,Maduro
Paralonchurus peruanus,19,Maduro
Paralonchurus peruanus,19,Maduro
Paralonchurus peruanus,19.2,Maduro
Paralonchurus peruanus,19.2,Maduro
Paralonchurus peruanus,19.5,Maduro
Paralonchurus peruanus,19.5,Maduro
Paralonchurus peruanus,19.6,Maduro
Paralonchurus peruanus,19.7,Maduro
Paralonchurus peruanus,19.8,Maduro
Paralonchurus peruanus,20,Maduro
Paralonchurus peruanus,20.1,Maduro
Paralonchurus peruanus,20.1,Maduro
Paralonchurus peruanus,20.2,Maduro
Paralonchurus peruanus,20.3,Maduro
Paralonchurus peruanus,20.4,Maduro
Paralonchurus peruanus,20.4,Maduro
Paralonchurus peruanus,20.5,Maduro
Paralonchurus peruanus,20.7,Maduro
Paralonchurus peruanus,21,Maduro
Paralonchurus peruanus,21.2,Maduro
Paralonchurus peruanus,21.4,Maduro
Sciaena deliciosa,16,Maduro
Sciaena deliciosa,16.8,Maduro
Sciaena deliciosa,17,Maduro
Sciaena deliciosa,17.4,Maduro
Sciaena deliciosa,17.7,Maduro
Sciaena deliciosa,17.8,Maduro
Sciaena deliciosa,17.9,Maduro
Sciaena deliciosa,18,Maduro
Sciaena deliciosa,18.4,Maduro
Sciaena deliciosa,18.5,Maduro
Sciaena deliciosa,18.5,Maduro
Sciaena deliciosa,18.5,Maduro
Sciaena deliciosa,18.7,Maduro
Sciaena deliciosa,18.8,Maduro
Sciaena deliciosa,18.8,Maduro
Sciaena deliciosa,19,Maduro
Sciaena deliciosa,19.1,Maduro
Sciaena deliciosa,19.2,Maduro
Sciaena deliciosa,19.4,Maduro
Sciaena deliciosa,19.5,Maduro
Sciaena deliciosa,19.6,Maduro
Sciaena deliciosa,19.7,Maduro
Sciaena deliciosa,20.1,Maduro
Sciaena deliciosa,20.1,Maduro
Sciaena deliciosa,20.2,Maduro
Sciaena deliciosa,20.2,Maduro
Sciaena deliciosa,20.2,Maduro
Sciaena deliciosa,20.2,Maduro
Sciaena deliciosa,20.5,Maduro
Sciaena deliciosa,20.5,Maduro
Sciaena deliciosa,20.6,Maduro
Sciaena deliciosa,20.7,Maduro
Sciaena deliciosa,20.8,Maduro
Sciaena deliciosa,21,Maduro
Sciaena deliciosa,21.1,Maduro
Sciaena deliciosa,21.1,Maduro
Sciaena deliciosa,21.4,Maduro
Sciaena deliciosa,21.6,Maduro
Sciaena deliciosa,21.9,Maduro
Sciaena deliciosa,22.3,Maduro
Sciaena deliciosa,22.9,Maduro
Sciaena deliciosa,23,Maduro
Sciaena deliciosa,26,Maduro
Sciaena deliciosa,26,Maduro
Sciaena deliciosa,30,Maduro
Sciaena deliciosa,30.6,Maduro
Sciaena deliciosa,31,Maduro
Sciaena deliciosa,31.1,Maduro
Sciaena deliciosa,33,Maduro
Sciaena deliciosa,33.4,Maduro
Sciaena deliciosa,34.5,Maduro
Sciaena deliciosa,34.9,Maduro
Sciaena deliciosa,36.2,Maduro
Sciaena deliciosa,46,Maduro
Stellifer minor,7,Inmaduro
Stellifer minor,7,Inmaduro
Stellifer minor,7,Inmaduro
Stellifer minor,8,Inmaduro
Stellifer minor,8,Inmaduro
Stellifer minor,8,Inmaduro
Stellifer minor,9,Inmaduro
Stellifer minor,9,Inmaduro
Stellifer minor,9,Inmaduro
Stellifer minor,9,Inmaduro
Stellifer minor,10,Inmaduro
Stellifer minor,10,Inmaduro
Stellifer minor,10,Inmaduro
Stellifer minor,10,Inmaduro
Stellifer minor,11,Inmaduro
Stellifer minor,11,Inmaduro
Stellifer minor,11,Inmaduro
Stellifer minor,11,Inmaduro
Stellifer minor,12,Inmaduro
Stellifer minor,12,Inmaduro
Stellifer minor,12,Inmaduro
Stellifer minor,12,Inmaduro
Stellifer minor,13,Inmaduro
Stellifer minor,13,Inmaduro
Stellifer minor,13,Inmaduro
Stellifer minor,14,Inmaduro
Stellifer minor,11.3,Maduro
Stellifer minor,13.5,Maduro
Stellifer minor,13.8,Maduro
Stellifer minor,13.9,Maduro
Stellifer minor,14.1,Maduro
Stellifer minor,14.1,Maduro
Stellifer minor,14.2,Maduro
Stellifer minor,14.2,Maduro
Stellifer minor,14.3,Maduro
Stellifer minor,14.3,Maduro
Stellifer minor,14.3,Maduro
Stellifer minor,14.4,Maduro
Stellifer minor,14.4,Maduro
Stellifer minor,14.4,Maduro
Stellifer minor,14.5,Maduro
Stellifer minor,14.5,Maduro
Stellifer minor,14.5,Maduro
Stellifer minor,14.5,Maduro
Stellifer minor,14.5,Maduro
Stellifer minor,14.5,Maduro
Stellifer minor,14.6,Maduro
Stellifer minor,14.6,Maduro
Stellifer minor,14.6,Maduro
Stellifer minor,14.6,Maduro
Stellifer minor,14.6,Maduro
Stellifer minor,14.7,Maduro
Stellifer minor,14.7,Maduro
Stellifer minor,14.7,Maduro
Stellifer minor,14.7,Maduro
Stellifer minor,14.8,Maduro
Stellifer minor,14.8,Maduro
Stellifer minor,14.8,Maduro
Stellifer minor,14.9,Maduro
Stellifer minor,14.9,Maduro
Stellifer minor,14.9,Maduro
Stellifer minor,14.9,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15,Maduro
Stellifer minor,15.1,Maduro
Stellifer minor,15.1,Maduro
Stellifer minor,15.1,Maduro
Stellifer minor,15.1,Maduro
Stellifer minor,15.1,Maduro
Stellifer minor,15.1,Maduro
Stellifer minor,15.2,Maduro
Stellifer minor,15.2,Maduro
Stellifer minor,15.2,Maduro
Stellifer minor,15.2,Maduro
Stellifer minor,15.2,Maduro
Stellifer minor,15.2,Maduro
Stellifer minor,15.2,Maduro
Stellifer minor,15.2,Maduro
Stellifer minor,15.2,Maduro
Stellifer minor,15.2,Maduro
Stellifer minor,15.2,Maduro
Stellifer minor,15.3,Maduro
Stellifer minor,15.3,Maduro
Stellifer minor,15.3,Maduro
Stellifer minor,15.3,Maduro
Stellifer minor,15.3,Maduro
Stellifer minor,15.3,Maduro
Stellifer minor,15.3,Maduro
Stellifer minor,15.3,Maduro
Stellifer minor,15.3,Maduro
Stellifer minor,15.3,Maduro
Stellifer minor,15.4,Maduro
Stellifer minor,15.4,Maduro
Stellifer minor,15.4,Maduro
Stellifer minor,15.4,Maduro
Stellifer minor,15.4,Maduro
Stellifer minor,15.4,Maduro
Stellifer minor,15.4,Maduro
Stellifer minor,15.4,Maduro
Stellifer minor,15.5,Maduro
Stellifer minor,15.5,Maduro
Stellifer minor,15.5,Maduro
Stellifer minor,15.5,Maduro
Stellifer minor,15.5,Maduro
Stellifer minor,15.5,Maduro
Stellifer minor,15.5,Maduro
Stellifer minor,15.5,Maduro
Stellifer minor,15.5,Maduro
Stellifer minor,15.6,Maduro
Stellifer minor,15.6,Maduro
Stellifer minor,15.6,Maduro
Stellifer minor,15.6,Maduro
Stellifer minor,15.7,Maduro
Stellifer minor,15.7,Maduro
Stellifer minor,15.7,Maduro
Stellifer minor,15.7,Maduro
Stellifer minor,15.7,Maduro
Stellifer minor,15.7,Maduro
Stellifer minor,15.7,Maduro
Stellifer minor,15.8,Maduro
Stellifer minor,15.8,Maduro
Stellifer minor,15.8,Maduro
Stellifer minor,15.8,Maduro
Stellifer minor,15.9,Maduro
Stellifer minor,15.9,Maduro
Stellifer minor,15.9,Maduro
Stellifer minor,16,Maduro
Stellifer minor,16,Maduro
Stellifer minor,16,Maduro
Stellifer minor,16,Maduro
Stellifer minor,16,Maduro
Stellifer minor,16,Maduro
Stellifer minor,16,Maduro
Stellifer minor,16,Maduro
Stellifer minor,16.1,Maduro
Stellifer minor,16.1,Maduro
Stellifer minor,16.1,Maduro
Stellifer minor,16.1,Maduro
Stellifer minor,16.2,Maduro
Stellifer minor,16.2,Maduro
Stellifer minor,16.3,Maduro
Stellifer minor,16.3,Maduro
Stellifer minor,16.4,Maduro
Stellifer minor,16.5,Maduro
Stellifer minor,16.5,Maduro
Stellifer minor,16.5,Maduro
Stellifer minor,16.6,Maduro
Stellifer minor,16.6,Maduro
Stellifer minor,16.7,Maduro
Stellifer minor,16.8,Maduro
Stellifer minor,17,Maduro
Stellifer minor,17,Maduro
Stellifer minor,18,Maduro
